group_id,source,fold,total_n,positive_n,negative_n
filename_bucket_1000:709,numeric_filename_bucket,7,142,119,23
filename_bucket_1000:722,numeric_filename_bucket,7,94,83,11
filename_bucket_1000:724,numeric_filename_bucket,7,113,83,30
filename_bucket_1000:726,numeric_filename_bucket,7,142,134,8
filename_bucket_1000:729,numeric_filename_bucket,7,151,127,24
filename_bucket_1000:733,numeric_filename_bucket,7,147,91,56
filename_bucket_1000:735,numeric_filename_bucket,7,125,95,30
filename_bucket_1000:736,numeric_filename_bucket,7,196,171,25
filename_bucket_1000:741,numeric_filename_bucket,7,132,71,61
filename_bucket_1000:763,numeric_filename_bucket,7,148,96,52
filename_bucket_1000:766,numeric_filename_bucket,7,175,106,69
filename_bucket_1000:805,numeric_filename_bucket,7,104,20,84
filename_bucket_1000:817,numeric_filename_bucket,7,106,33,73
filename_bucket_1000:819,numeric_filename_bucket,7,73,0,73
filename_bucket_1000:836,numeric_filename_bucket,7,233,195,38
filename_bucket_1000:848,numeric_filename_bucket,7,103,8,95
filename_bucket_1000:850,numeric_filename_bucket,7,87,2,85
filename_bucket_1000:862,numeric_filename_bucket,7,117,6,111
filename_bucket_1000:863,numeric_filename_bucket,7,98,55,43
filename_bucket_1000:864,numeric_filename_bucket,7,119,52,67
filename_bucket_1000:871,numeric_filename_bucket,7,98,72,26
filename_bucket_1000:880,numeric_filename_bucket,7,84,30,54
filename_bucket_1000:896,numeric_filename_bucket,7,87,46,41
filename_bucket_1000:900,numeric_filename_bucket,7,86,40,46
filename_bucket_1000:903,numeric_filename_bucket,7,89,70,19
filename_bucket_1000:913,numeric_filename_bucket,7,139,82,57
filename_bucket_1000:924,numeric_filename_bucket,7,98,23,75
filename_bucket_1000:932,numeric_filename_bucket,7,116,67,49
filename_bucket_1000:946,numeric_filename_bucket,7,86,42,44
filename_bucket_1000:948,numeric_filename_bucket,7,90,52,38
filename_bucket_1000:961,numeric_filename_bucket,7,102,47,55
filename_bucket_1000:966,numeric_filename_bucket,7,115,49,66
filename_bucket_1000:988,numeric_filename_bucket,7,111,71,40
filename_bucket_1000:1019,numeric_filename_bucket,8,100,37,63
filename_bucket_1000:1027,numeric_filename_bucket,8,86,11,75
filename_bucket_1000:1045,numeric_filename_bucket,8,97,53,44
filename_bucket_1000:1049,numeric_filename_bucket,8,74,16,58
filename_bucket_1000:1050,numeric_filename_bucket,8,112,4,108
filename_bucket_1000:1056,numeric_filename_bucket,8,86,24,62
filename_bucket_1000:1062,numeric_filename_bucket,8,71,45,26
filename_bucket_1000:1065,numeric_filename_bucket,8,108,70,38
filename_bucket_1000:1087,numeric_filename_bucket,8,97,92,5
filename_bucket_1000:1090,numeric_filename_bucket,8,106,104,2
filename_bucket_1000:1102,numeric_filename_bucket,8,97,54,43
filename_bucket_1000:1104,numeric_filename_bucket,8,125,80,45
filename_bucket_1000:1124,numeric_filename_bucket,8,79,16,63
filename_bucket_1000:1134,numeric_filename_bucket,8,87,67,20
filename_bucket_1000:1141,numeric_filename_bucket,8,100,53,47
filename_bucket_1000:1143,numeric_filename_bucket,8,104,12,92
filename_bucket_1000:1152,numeric_filename_bucket,8,93,52,41
filename_bucket_1000:1163,numeric_filename_bucket,8,112,45,67
filename_bucket_1000:1164,numeric_filename_bucket,8,106,24,82
filename_bucket_1000:1166,numeric_filename_bucket,8,135,72,63
filename_bucket_1000:1169,numeric_filename_bucket,8,139,94,45
filename_bucket_1000:1202,numeric_filename_bucket,8,107,4,103
filename_bucket_1000:1209,numeric_filename_bucket,8,109,32,77
filename_bucket_1000:1227,numeric_filename_bucket,8,84,47,37
filename_bucket_1000:1234,numeric_filename_bucket,8,83,51,32
filename_bucket_1000:1264,numeric_filename_bucket,8,90,64,26
filename_bucket_1000:1265,numeric_filename_bucket,8,111,70,41
filename_bucket_1000:1274,numeric_filename_bucket,8,93,7,86
filename_bucket_1000:1285,numeric_filename_bucket,8,114,39,75
filename_bucket_1000:1293,numeric_filename_bucket,8,98,4,94
filename_bucket_1000:147,numeric_filename_bucket,8,113,87,26
filename_bucket_1000:163,numeric_filename_bucket,8,85,55,30
filename_bucket_1000:180,numeric_filename_bucket,8,134,108,26
filename_bucket_1000:182,numeric_filename_bucket,8,81,54,27
filename_bucket_1000:191,numeric_filename_bucket,8,106,53,53
filename_bucket_1000:195,numeric_filename_bucket,8,88,22,66
filename_bucket_1000:201,numeric_filename_bucket,8,97,81,16
filename_bucket_1000:205,numeric_filename_bucket,8,115,14,101
filename_bucket_1000:216,numeric_filename_bucket,8,88,38,50
filename_bucket_1000:226,numeric_filename_bucket,8,84,17,67
filename_bucket_1000:231,numeric_filename_bucket,8,78,38,40
filename_bucket_1000:245,numeric_filename_bucket,8,69,2,67
filename_bucket_1000:246,numeric_filename_bucket,8,73,2,71
filename_bucket_1000:252,numeric_filename_bucket,8,113,16,97
filename_bucket_1000:255,numeric_filename_bucket,8,96,12,84
filename_bucket_1000:259,numeric_filename_bucket,8,95,45,50
filename_bucket_1000:273,numeric_filename_bucket,8,82,35,47
filename_bucket_1000:287,numeric_filename_bucket,8,89,61,28
filename_bucket_1000:297,numeric_filename_bucket,8,74,7,67
filename_bucket_1000:307,numeric_filename_bucket,8,91,66,25
filename_bucket_1000:360,numeric_filename_bucket,8,79,14,65
filename_bucket_1000:362,numeric_filename_bucket,8,103,73,30
filename_bucket_1000:364,numeric_filename_bucket,8,83,4,79
filename_bucket_1000:384,numeric_filename_bucket,8,73,48,25
filename_bucket_1000:392,numeric_filename_bucket,8,92,34,58
filename_bucket_1000:399,numeric_filename_bucket,8,106,39,67
filename_bucket_1000:413,numeric_filename_bucket,8,52,6,46
filename_bucket_1000:445,numeric_filename_bucket,8,118,55,63
filename_bucket_1000:474,numeric_filename_bucket,8,74,74,0
filename_bucket_1000:495,numeric_filename_bucket,8,87,20,67
filename_bucket_1000:509,numeric_filename_bucket,8,186,151,35
filename_bucket_1000:517,numeric_filename_bucket,8,81,5,76
filename_bucket_1000:541,numeric_filename_bucket,8,113,41,72
filename_bucket_1000:550,numeric_filename_bucket,8,101,24,77
filename_bucket_1000:562,numeric_filename_bucket,8,90,11,79
filename_bucket_1000:609,numeric_filename_bucket,8,89,3,86
filename_bucket_1000:623,numeric_filename_bucket,8,106,78,28
filename_bucket_1000:624,numeric_filename_bucket,8,135,101,34
filename_bucket_1000:625,numeric_filename_bucket,8,91,24,67
filename_bucket_1000:631,numeric_filename_bucket,8,96,70,26
filename_bucket_1000:636,numeric_filename_bucket,8,128,76,52
filename_bucket_1000:655,numeric_filename_bucket,8,102,77,25
filename_bucket_1000:656,numeric_filename_bucket,8,79,48,31
filename_bucket_1000:661,numeric_filename_bucket,8,133,103,30
filename_bucket_1000:663,numeric_filename_bucket,8,138,96,42
filename_bucket_1000:666,numeric_filename_bucket,8,124,82,42
filename_bucket_1000:669,numeric_filename_bucket,8,102,83,19
filename_bucket_1000:685,numeric_filename_bucket,8,201,175,26
filename_bucket_1000:686,numeric_filename_bucket,8,101,80,21
filename_bucket_1000:698,numeric_filename_bucket,8,147,122,25
filename_bucket_1000:711,numeric_filename_bucket,8,153,105,48
filename_bucket_1000:716,numeric_filename_bucket,8,160,115,45
filename_bucket_1000:752,numeric_filename_bucket,8,98,57,41
filename_bucket_1000:759,numeric_filename_bucket,8,227,156,71
filename_bucket_1000:764,numeric_filename_bucket,8,231,154,77
filename_bucket_1000:765,numeric_filename_bucket,8,197,151,46
filename_bucket_1000:768,numeric_filename_bucket,8,123,60,63
filename_bucket_1000:777,numeric_filename_bucket,8,133,47,86
filename_bucket_1000:779,numeric_filename_bucket,8,140,63,77
filename_bucket_1000:794,numeric_filename_bucket,8,82,3,79
filename_bucket_1000:806,numeric_filename_bucket,8,80,10,70
filename_bucket_1000:807,numeric_filename_bucket,8,77,22,55
filename_bucket_1000:815,numeric_filename_bucket,8,90,36,54
filename_bucket_1000:822,numeric_filename_bucket,8,64,4,60
filename_bucket_1000:828,numeric_filename_bucket,8,140,80,60
filename_bucket_1000:834,numeric_filename_bucket,8,231,192,39
filename_bucket_1000:856,numeric_filename_bucket,8,137,61,76
filename_bucket_1000:859,numeric_filename_bucket,8,72,23,49
filename_bucket_1000:870,numeric_filename_bucket,8,87,46,41
filename_bucket_1000:881,numeric_filename_bucket,8,57,18,39
filename_bucket_1000:888,numeric_filename_bucket,8,65,18,47
filename_bucket_1000:911,numeric_filename_bucket,8,113,104,9
filename_bucket_1000:917,numeric_filename_bucket,8,99,41,58
filename_bucket_1000:923,numeric_filename_bucket,8,78,2,76
filename_bucket_1000:938,numeric_filename_bucket,8,123,28,95
filename_bucket_1000:939,numeric_filename_bucket,8,88,62,26
filename_bucket_1000:940,numeric_filename_bucket,8,133,112,21
filename_bucket_1000:945,numeric_filename_bucket,8,117,90,27
filename_bucket_1000:951,numeric_filename_bucket,8,55,1,54
filename_bucket_1000:986,numeric_filename_bucket,8,179,152,27
filename_bucket_1000:992,numeric_filename_bucket,8,109,0,109
filename_bucket_1000:997,numeric_filename_bucket,8,118,12,106
filename_bucket_1000:999,numeric_filename_bucket,8,81,9,72
filename_bucket_1000:1005,numeric_filename_bucket,9,115,25,90
filename_bucket_1000:1029,numeric_filename_bucket,9,74,12,62
filename_bucket_1000:1031,numeric_filename_bucket,9,105,1,104
filename_bucket_1000:1067,numeric_filename_bucket,9,102,51,51
filename_bucket_1000:1069,numeric_filename_bucket,9,110,37,73
filename_bucket_1000:1097,numeric_filename_bucket,9,71,61,10
filename_bucket_1000:1107,numeric_filename_bucket,9,85,60,25
filename_bucket_1000:1110,numeric_filename_bucket,9,91,60,31
filename_bucket_1000:1128,numeric_filename_bucket,9,76,41,35
filename_bucket_1000:1129,numeric_filename_bucket,9,88,21,67
filename_bucket_1000:1133,numeric_filename_bucket,9,68,43,25
filename_bucket_1000:1170,numeric_filename_bucket,9,151,89,62
filename_bucket_1000:1186,numeric_filename_bucket,9,116,52,64
filename_bucket_1000:1191,numeric_filename_bucket,9,116,72,44
filename_bucket_1000:1192,numeric_filename_bucket,9,109,61,48
filename_bucket_1000:1204,numeric_filename_bucket,9,130,29,101
filename_bucket_1000:1231,numeric_filename_bucket,9,96,0,96
filename_bucket_1000:1232,numeric_filename_bucket,9,103,9,94
filename_bucket_1000:1233,numeric_filename_bucket,9,100,10,90
filename_bucket_1000:1241,numeric_filename_bucket,9,87,10,77
filename_bucket_1000:1245,numeric_filename_bucket,9,87,53,34
filename_bucket_1000:157,numeric_filename_bucket,9,55,54,1
filename_bucket_1000:176,numeric_filename_bucket,9,90,66,24
filename_bucket_1000:181,numeric_filename_bucket,9,122,72,50
filename_bucket_1000:183,numeric_filename_bucket,9,121,112,9
filename_bucket_1000:190,numeric_filename_bucket,9,105,33,72
filename_bucket_1000:192,numeric_filename_bucket,9,114,37,77
filename_bucket_1000:209,numeric_filename_bucket,9,100,75,25
filename_bucket_1000:214,numeric_filename_bucket,9,73,25,48
filename_bucket_1000:218,numeric_filename_bucket,9,100,28,72
filename_bucket_1000:219,numeric_filename_bucket,9,93,10,83
filename_bucket_1000:239,numeric_filename_bucket,9,72,12,60
filename_bucket_1000:249,numeric_filename_bucket,9,97,2,95
filename_bucket_1000:250,numeric_filename_bucket,9,87,2,85
filename_bucket_1000:253,numeric_filename_bucket,9,71,8,63
filename_bucket_1000:257,numeric_filename_bucket,9,101,21,80
filename_bucket_1000:260,numeric_filename_bucket,9,94,10,84
filename_bucket_1000:281,numeric_filename_bucket,9,111,98,13
filename_bucket_1000:302,numeric_filename_bucket,9,76,68,8
filename_bucket_1000:303,numeric_filename_bucket,9,119,103,16
filename_bucket_1000:326,numeric_filename_bucket,9,107,13,94
filename_bucket_1000:339,numeric_filename_bucket,9,79,49,30
filename_bucket_1000:347,numeric_filename_bucket,9,81,27,54
filename_bucket_1000:357,numeric_filename_bucket,9,100,24,76
filename_bucket_1000:380,numeric_filename_bucket,9,59,28,31
filename_bucket_1000:390,numeric_filename_bucket,9,89,67,22
filename_bucket_1000:404,numeric_filename_bucket,9,83,43,40
filename_bucket_1000:421,numeric_filename_bucket,9,100,58,42
filename_bucket_1000:431,numeric_filename_bucket,9,86,74,12
filename_bucket_1000:436,numeric_filename_bucket,9,96,81,15
filename_bucket_1000:441,numeric_filename_bucket,9,89,72,17
filename_bucket_1000:446,numeric_filename_bucket,9,127,69,58
filename_bucket_1000:457,numeric_filename_bucket,9,83,15,68
filename_bucket_1000:460,numeric_filename_bucket,9,58,7,51
filename_bucket_1000:463,numeric_filename_bucket,9,72,29,43
filename_bucket_1000:476,numeric_filename_bucket,9,82,6,76
filename_bucket_1000:485,numeric_filename_bucket,9,84,59,25
filename_bucket_1000:506,numeric_filename_bucket,9,117,61,56
filename_bucket_1000:513,numeric_filename_bucket,9,48,21,27
filename_bucket_1000:518,numeric_filename_bucket,9,84,12,72
filename_bucket_1000:519,numeric_filename_bucket,9,102,70,32
filename_bucket_1000:537,numeric_filename_bucket,9,103,35,68
filename_bucket_1000:538,numeric_filename_bucket,9,122,71,51
filename_bucket_1000:561,numeric_filename_bucket,9,130,73,57
filename_bucket_1000:599,numeric_filename_bucket,9,133,131,2
filename_bucket_1000:603,numeric_filename_bucket,9,111,21,90
filename_bucket_1000:607,numeric_filename_bucket,9,79,8,71
filename_bucket_1000:629,numeric_filename_bucket,9,125,87,38
filename_bucket_1000:632,numeric_filename_bucket,9,91,24,67
filename_bucket_1000:635,numeric_filename_bucket,9,121,94,27
filename_bucket_1000:644,numeric_filename_bucket,9,82,73,9
filename_bucket_1000:645,numeric_filename_bucket,9,106,101,5
filename_bucket_1000:649,numeric_filename_bucket,9,77,51,26
filename_bucket_1000:650,numeric_filename_bucket,9,80,71,9
filename_bucket_1000:665,numeric_filename_bucket,9,117,93,24
filename_bucket_1000:672,numeric_filename_bucket,9,169,139,30
filename_bucket_1000:681,numeric_filename_bucket,9,115,94,21
filename_bucket_1000:684,numeric_filename_bucket,9,112,85,27
filename_bucket_1000:700,numeric_filename_bucket,9,231,200,31
filename_bucket_1000:715,numeric_filename_bucket,9,165,128,37
filename_bucket_1000:720,numeric_filename_bucket,9,130,69,61
filename_bucket_1000:721,numeric_filename_bucket,9,167,154,13
filename_bucket_1000:730,numeric_filename_bucket,9,166,121,45
filename_bucket_1000:731,numeric_filename_bucket,9,113,106,7
filename_bucket_1000:751,numeric_filename_bucket,9,77,58,19
filename_bucket_1000:754,numeric_filename_bucket,9,71,33,38
filename_bucket_1000:775,numeric_filename_bucket,9,141,110,31
filename_bucket_1000:787,numeric_filename_bucket,9,141,94,47
filename_bucket_1000:789,numeric_filename_bucket,9,86,42,44
filename_bucket_1000:799,numeric_filename_bucket,9,133,8,125
filename_bucket_1000:804,numeric_filename_bucket,9,87,20,67
filename_bucket_1000:810,numeric_filename_bucket,9,81,3,78
filename_bucket_1000:827,numeric_filename_bucket,9,159,121,38
filename_bucket_1000:829,numeric_filename_bucket,9,80,1,79
filename_bucket_1000:854,numeric_filename_bucket,9,85,4,81
filename_bucket_1000:855,numeric_filename_bucket,9,102,46,56
filename_bucket_1000:861,numeric_filename_bucket,9,89,14,75
filename_bucket_1000:868,numeric_filename_bucket,9,95,52,43
filename_bucket_1000:878,numeric_filename_bucket,9,94,62,32
filename_bucket_1000:879,numeric_filename_bucket,9,76,11,65
filename_bucket_1000:884,numeric_filename_bucket,9,69,25,44
filename_bucket_1000:886,numeric_filename_bucket,9,81,22,59
filename_bucket_1000:889,numeric_filename_bucket,9,92,33,59
filename_bucket_1000:892,numeric_filename_bucket,9,130,124,6
filename_bucket_1000:895,numeric_filename_bucket,9,79,7,72
filename_bucket_1000:898,numeric_filename_bucket,9,121,77,44
filename_bucket_1000:905,numeric_filename_bucket,9,83,24,59
filename_bucket_1000:915,numeric_filename_bucket,9,115,53,62
filename_bucket_1000:920,numeric_filename_bucket,9,123,33,90
filename_bucket_1000:925,numeric_filename_bucket,9,87,35,52
filename_bucket_1000:927,numeric_filename_bucket,9,130,53,77
filename_bucket_1000:930,numeric_filename_bucket,9,79,28,51
filename_bucket_1000:935,numeric_filename_bucket,9,117,51,66
filename_bucket_1000:942,numeric_filename_bucket,9,128,111,17
filename_bucket_1000:943,numeric_filename_bucket,9,138,90,48
filename_bucket_1000:952,numeric_filename_bucket,9,98,4,94
filename_bucket_1000:968,numeric_filename_bucket,9,111,3,108
filename_bucket_1000:977,numeric_filename_bucket,9,99,34,65
